agent / wind,,pureEnv,left,,,,gustyLeft,,,,right,,,,gustyRight,,,,sides,,,,gustySides,,,
,,,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
pureEnv,,927.42,749.07,177.42,27.05,-69.08,814.50,309.88,195.72,21.76,832.91,559.17,288.93,192.33,904.97,835.50,708.04,798.52,837.61,484.54,173.20,43.02,845.50,555.03,245.53,96.79
left,1,829.11,893.64,655.25,-23.05,-76.19,888.21,856.42,227.14,33.99,254.06,91.28,29.28,-22.97,654.18,466.69,308.77,69.23,777.11,563.88,136.39,2.39,703.55,540.96,92.49,-16.71
,2,267.71,857.69,909.09,667.97,-65.20,705.95,651.30,725.82,202.87,17.16,-14.96,-41.09,-55.72,77.10,22.30,-28.28,-1.70,275.36,104.18,18.53,48.64,398.93,497.38,360.08,-11.06
,3,91.85,454.18,779.68,868.44,30.53,220.30,248.38,434.73,360.27,-44.72,-55.05,-68.47,-73.62,11.60,-48.26,-43.15,-53.92,67.50,44.14,-12.00,-18.52,148.10,264.82,240.19,-4.38
,4,-80.49,-80.91,-62.81,215.25,830.42,-81.32,-79.14,-61.69,-49.25,-76.17,-73.57,-73.53,-70.69,-80.50,-74.91,-78.39,-73.41,-80.82,-74.75,-67.32,-45.32,-80.13,-73.43,-46.03,-2.83
gustyLeft,1,903.84,889.93,797.20,96.54,-79.17,903.32,884.12,752.43,44.15,871.68,868.37,832.88,789.48,887.43,863.47,847.77,853.15,883.56,851.64,659.81,45.59,878.96,863.01,664.40,87.03
,2,895.95,906.85,904.98,807.86,-6.67,893.11,910.63,873.73,555.73,880.29,872.43,846.18,815.75,890.83,873.25,846.60,854.44,895.51,886.53,853.81,441.22,882.81,892.84,864.75,405.11
,3,882.89,880.34,884.05,881.92,489.59,886.96,898.32,881.22,734.01,872.04,831.94,767.34,641.15,874.03,872.48,847.79,807.92,872.28,875.22,842.89,633.46,872.57,877.30,841.57,643.11
,4,851.45,857.94,865.86,862.13,647.86,863.78,848.50,861.01,849.70,846.00,841.96,826.32,831.14,855.37,845.07,843.56,843.73,852.82,861.26,859.71,838.22,850.25,859.40,851.00,805.75
right,1,786.71,-6.00,-52.95,-69.13,-77.81,53.48,-8.75,-38.67,-58.45,900.34,903.25,869.16,852.08,881.55,834.64,867.04,874.33,285.08,51.07,30.26,20.26,385.56,215.85,222.41,160.47
,2,92.59,-56.88,-74.63,-81.59,-82.40,-24.26,-56.73,-56.84,-50.13,801.15,856.03,828.46,808.88,299.21,344.51,784.22,535.57,31.47,-8.46,-22.79,-21.22,141.58,134.90,163.29,139.75
,3,170.88,-46.27,-56.78,-65.55,-74.72,-38.40,-33.77,-44.44,-60.98,693.66,796.67,853.65,858.77,344.13,354.90,371.12,450.95,65.89,2.48,-0.91,-15.11,160.28,164.08,192.93,181.62
,4,195.90,67.21,-1.41,-25.12,-22.71,141.87,103.23,29.04,8.75,624.43,850.15,892.95,902.20,335.80,686.65,591.11,717.15,256.92,190.42,86.80,48.33,283.56,295.81,236.50,235.09
gustyRight,1,892.26,715.12,217.02,45.24,-35.72,871.51,382.55,70.39,-12.66,895.82,871.71,844.43,733.91,896.45,879.30,881.51,832.81,855.99,622.83,267.85,110.17,863.75,636.72,353.73,246.92
,2,858.70,805.84,727.05,324.35,-39.42,812.48,814.21,605.35,333.93,891.77,893.52,886.75,880.91,882.30,879.45,870.75,878.79,843.78,810.07,668.02,356.99,859.08,816.10,711.59,369.04
,3,884.89,811.39,370.64,105.66,-69.89,853.98,782.64,507.20,-18.65,911.17,901.56,905.22,908.92,886.30,900.66,899.09,899.29,874.50,806.85,644.99,97.37,865.04,777.87,560.57,391.83
,4,900.67,851.03,829.40,334.13,-27.12,896.11,873.88,598.67,187.38,914.63,910.61,906.50,906.05,913.23,900.33,908.52,902.19,894.45,845.20,760.59,246.28,883.11,874.58,767.13,378.70
sides,1,894.93,898.06,859.96,764.20,-1.62,902.56,896.23,873.05,610.70,881.83,873.80,862.65,839.98,890.79,891.18,875.66,870.57,880.92,894.06,813.65,401.91,886.65,875.94,858.86,419.07
,2,910.88,904.17,902.10,865.30,34.85,905.67,903.63,892.56,387.54,910.66,902.54,890.52,869.65,911.82,900.13,906.60,903.68,908.87,900.62,901.70,482.20,909.60,903.07,896.90,461.34
,3,908.73,920.62,917.77,897.99,33.08,913.38,915.11,909.64,282.93,911.86,898.40,901.03,894.21,909.05,920.24,910.51,909.22,913.26,911.96,905.57,414.68,905.18,902.76,917.53,475.27
,4,826.91,845.27,857.10,791.81,257.01,845.54,865.33,840.29,737.23,814.47,799.78,792.43,784.46,821.05,813.69,818.95,807.13,838.21,830.12,827.52,779.41,835.94,826.97,829.22,756.95
gustySides,1,928.32,904.64,895.67,489.11,-41.98,921.77,912.77,776.48,128.87,917.31,907.01,886.25,881.50,917.85,914.63,905.97,897.62,909.80,904.32,841.62,237.49,917.53,913.51,859.79,393.77
,2,916.88,912.11,917.59,754.81,96.82,918.14,904.17,873.48,287.63,908.87,903.02,909.28,900.48,914.83,913.70,913.72,898.74,898.13,894.00,834.17,365.78,904.23,919.71,821.19,502.63
,3,900.23,891.06,880.29,864.05,142.32,896.27,891.62,876.43,507.15,901.52,893.31,895.03,877.97,890.09,902.00,896.66,895.35,894.02,889.66,901.58,664.66,886.76,894.63,881.52,620.79
,4,,,,,,,,,,,,,,,,,,,,,,,,,